,wfb_country_link,wfb_country_name,country,ISO3_CODE
0,https://www.cia.gov/the-world-factbook/countries/akrotiri-and-dhekelia/,akrotiri-and-dhekelia,not found,not found
1,https://www.cia.gov/the-world-factbook/countries/ashmore-and-cartier-islands/,ashmore-and-cartier-islands,not found,not found
2,https://www.cia.gov/the-world-factbook/countries/cabo-verde/,cabo-verde,not found,not found
3,https://www.cia.gov/the-world-factbook/countries/clipperton-island/,clipperton-island,not found,not found
4,https://www.cia.gov/the-world-factbook/countries/congo-republic-of-the/,congo-republic-of-the,not found,not found
5,https://www.cia.gov/the-world-factbook/countries/coral-sea-islands/,coral-sea-islands,not found,not found
6,https://www.cia.gov/the-world-factbook/countries/european-union/,european-union,not found,not found
7,https://www.cia.gov/the-world-factbook/countries/jan-mayen/,jan-mayen,not found,not found
8,https://www.cia.gov/the-world-factbook/countries/navassa-island/,navassa-island,not found,not found
9,https://www.cia.gov/the-world-factbook/countries/paracel-islands/,paracel-islands,not found,not found
10,https://www.cia.gov/the-world-factbook/countries/spratly-islands/,spratly-islands,not found,not found
11,https://www.cia.gov/the-world-factbook/countries/virgin-islands/,virgin-islands,not found,not found
12,https://www.cia.gov/the-world-factbook/countries/wake-island/,wake-island,not found,not found
13,https://www.cia.gov/the-world-factbook/countries/world/,world,not found,not found
